userName,content,score,date,source,translated_content,year
Sahen madawa,Worst app in the universe,1,2024-05-16 15:10:29,Google Play,Worst app in the universe,2024.0
Chatura Wijekoon,This app is very slow . Functions like detail reports are almost not available even though I subscibed for them .,3,2024-05-13 07:37:32,Google Play,This app is very slow . Functions like detail reports are almost not available even though I subscibed for them .,2024.0
Madura Sasanka,Bad signal poor connection,1,2024-05-12 11:56:20,Google Play,Bad signal poor connection,2024.0
Thevarasha Thesigan,"SLT is the worst internet service provider within the 4G broadband service in Sri Lanka. Their app is also similar to their internet service. There is a complaint registration system available in this app. I registered a complaint last year, but still haven't received any response.",1,2024-05-10 19:29:14,Google Play,"SLT is the worst internet service provider within the 4G broadband service in Sri Lanka. Their app is also similar to their internet service. There is a complaint registration system available in this app. I registered a complaint last year, but still haven't received any response.",2024.0
Gamini Chandrasekera,SLT Email sending error comes.,1,2024-05-10 11:15:56,Google Play,SLT Email sending error comes.,2024.0
Faizer Akm,Loyalty,5,2024-05-09 12:52:30,Google Play,Loyalty,2024.0
Nimsara Mahagedara,"Cannot even add my connection, it says service temporary unavailable",1,2024-05-08 10:09:41,Google Play,"Cannot even add my connection, it says service temporary unavailable",2024.0
Abdul Hakeem,Always service temporarily unavailable,1,2024-05-07 16:40:03,Google Play,Always service temporarily unavailable,2024.0
Handy Moki,Actually a very gokd app....,5,2024-05-06 15:01:01,Google Play,Actually a very gokd app....,2024.0
Mahesh Jayasundara,This is just a wast of time !,1,2024-05-01 08:17:10,Google Play,This is just a wast of time !,2024.0
geeth thanuj,Cant add on data on app.. its not showing the adding data volume and its freeze... please fix the bug,1,2024-04-30 05:12:27,Google Play,Cant add on data on app.. its not showing the adding data volume and its freeze... please fix the bug,2024.0
Saj Athuko,"Is it just me or does the app stop working often? I can't even access the app today for some reason 🤦‍♀️. Says ""service will be available soon""",1,2024-04-28 05:38:38,Google Play,"Is it just me or does the app stop working often? I can't even access the app today for some reason 🤦‍♀️. Says ""service will be available soon""",2024.0
LazerKnight,"The worst app, totally",1,2024-04-28 03:37:53,Google Play,"The worst app, totally",2024.0
Chamali Ravishika,Mokadda me app jarawak Hariyata hadagannath ba,1,2024-04-27 15:21:25,Google Play,It read about the appra,2024.0
Janaka Poddalgoda,Employees does not close their reports and let them stay open for months. Better to use the hotline than this app to report issues,1,2024-04-25 06:25:42,Google Play,Employees does not close their reports and let them stay open for months. Better to use the hotline than this app to report issues,2024.0
Ramika jayalathe,Some times comming server error problem . This app also like our government.,1,2024-04-23 16:54:58,Google Play,Some times comming server error problem . This app also like our government.,2024.0
Sarath Wimalasiri,Good service,5,2024-04-23 14:51:02,Google Play,Good service,2024.0
Pasidu Sadamal,ජරාම කනෙක්ෂන් එකක් ඉබි mobitel 😒💔,1,2024-04-23 09:53:09,Google Play,ජරාම කනෙක්ෂන් එකක් ඉබි mobitel 😒💔,2024.0
Chamila Ekanayake,Awful.....,1,2024-04-21 15:24:17,Google Play,Awful.....,2024.0
Roshen Perera,🤣,1,2024-04-19 16:37:24,Google Play,🤣,2024.0
Oshan Vidath,Not bad,4,2024-04-17 06:48:28,Google Play,Not bad,2024.0
Balasaravanan Mallika,"The real-time update isn't working. Past three days, it shows the same usage. Got screenshot of the display for evidence.",4,2024-04-17 05:57:05,Google Play,"The real-time update isn't working. Past three days, it shows the same usage. Got screenshot of the display for evidence.",2024.0
Rohan Sarathchandra,"Well structured, easy to use 👍 👌",5,2024-04-16 08:11:02,Google Play,"Well structured, easy to use 👍 👌",2024.0
Sobedan Sridaran,"Does absolutely nothing useful, app's servers are down all the time, cannot even view the bill or usage, what even is the app for?",1,2024-04-16 00:34:35,Google Play,"Does absolutely nothing useful, app's servers are down all the time, cannot even view the bill or usage, what even is the app for?",2024.0
Thejan Vithanage,Oops! Something went wrong. Please try again shorty.,1,2024-04-15 14:16:55,Google Play,Oops! Something went wrong. Please try again shorty.,2024.0
dilanka seshan,Can't reload slt preapaid routers through app. Dissapointed.,1,2024-04-15 08:18:52,Google Play,Can't reload slt preapaid routers through app. Dissapointed.,2024.0
Dirosh Amarasinghe,Not at all smooth. Always having problems.,1,2024-04-15 07:24:42,Google Play,Not at all smooth. Always having problems.,2024.0
DLG NAYANATHARA - 0055,Poor connection.don't activite any data plans 🤢🤮,1,2024-04-13 16:38:24,Google Play,Poor connection.don't activite any data plans 🤢🤮,2024.0
Gamunu Dinesh,🤮🤮🤮🤮🤮,1,2024-04-12 04:11:18,Google Play,🤮🤮🤮🤮🤮,2024.0
Ks Sudarsh,"Happy Day එක select කරලා තියෙන දවස වෙනස් කරන්න හැදුවාම system error කියලා පෙන්නවා. තොපි හැමදාම කරන්නෙ බොරුව, router එකේ බිල ඇප් එකේ පෙන්නන්නෙ තුන්දාස් ගානක් ඒත් පෝන් එකට massage එක ආවෙ පන්දාස් ගානක. තොපිලට මේවා හදන්න බැරිනම් කරන්න පුලුවන් එකෙක්ට දීලා මකබෑවිලා පල රට කන අර නාකියො ටික වගේ මිනිස්සුන්ගෙ සල්ලි හුරාකන්නෙ නැතුව. 😡😡😡",1,2024-04-11 15:51:03,Google Play,"Happy Day එක select කරලා තියෙන දවස වෙනස් කරන්න හැදුවාම system error කියලා පෙන්නවා. තොපි හැමදාම කරන්නෙ බොරුව, router එකේ බිල ඇප් එකේ පෙන්නන්නෙ තුන්දාස් ගානක් ඒත් පෝන් එකට massage එක ආවෙ පන්දාස් ගානක. තොපිලට මේවා හදන්න බැරිනම් කරන්න පුලුවන් එකෙක්ට දීලා මකබෑවිලා පල රට කන අර නාකියො ටික වගේ මිනිස්සුන්ගෙ සල්ලි හුරාකන්නෙ නැතුව. 😡😡😡",2024.0
Janindu Rajapaksha,Their connection speed gets so low due to higher user base. so they can't have new users. network speeds are so low that 3 seconds of hd video loads for 30 seconds and after thst 3 seconds it buffers for anlther 30 seconds.,1,2024-04-11 12:03:26,Google Play,Their connection speed gets so low due to higher user base. so they can't have new users. network speeds are so low that 3 seconds of hd video loads for 30 seconds and after thst 3 seconds it buffers for anlther 30 seconds.,2024.0
Binara Waduge,Scamming Sri Lankan peoples... Shame on you🤬,1,2024-04-09 13:34:51,Google Play,Scamming Sri Lankan peoples... Shame on you🤬,2024.0
Anura Wikramarachchi,Ol PPhon up hotel pt,5,2024-04-08 06:02:09,Google Play,Ol PPhon up hotel pt,2024.0
chathura prabath,Very high charges.. poor customer service...,1,2024-04-06 10:58:09,Google Play,Very high charges.. poor customer service...,2024.0
Salika Dhanushwara,gives headache just to install,1,2024-04-04 15:53:49,Google Play,gives headache just to install,2024.0
Mohamed Saly Asath,Worst mobile app I never seen before.,1,2024-04-04 10:01:50,Google Play,Worst mobile app I never seen before.,2024.0
Rahman Billa,Easy app😀😀😀😀😀😀,5,2024-04-04 04:19:10,Google Play,Easy app😀😀😀😀😀😀,2024.0
Ajith,Worst of worst service I have ever experienced. The customr care people don't have any basic knowledge of internet.,1,2024-04-01 04:45:18,Google Play,Worst of worst service I have ever experienced. The customr care people don't have any basic knowledge of internet.,2024.0
Sandun Liyanage,App is not stable. Sometimes app does not loading.,3,2024-03-31 14:51:46,Google Play,App is not stable. Sometimes app does not loading.,2024.0
Rajitha Sanjayamal,"Can't add extra GB using this app. Sometime It works, but sometime It doen't. It isn't consistent.",1,2024-03-28 13:31:57,Google Play,"Can't add extra GB using this app. Sometime It works, but sometime It doen't. It isn't consistent.",2024.0
Agkshayan Chandrasekar,The app ui is extremely unpleasing. It's hard to navigate through. Some features don't even work.,1,2024-03-28 12:14:34,Google Play,The app ui is extremely unpleasing. It's hard to navigate through. Some features don't even work.,2024.0
Chandrakumar Praseen,I'm using more than 6 months now. Using prepaid connection. Lots of restrictions in this app. Uni students most of the people using prepaid package so can you please update some more package and offer also Need to update app functions,1,2024-03-25 15:22:11,Google Play,I'm using more than 6 months now. Using prepaid connection. Lots of restrictions in this app. Uni students most of the people using prepaid package so can you please update some more package and offer also Need to update app functions,2024.0
Charles Wijesinghe,Not working,1,2024-03-24 00:39:03,Google Play,Not working,2024.0
Pasindu Madushan,Don't buy monitel sim cards. Very slow internet speed in data pachages.,1,2024-03-23 04:47:24,Google Play,Don't buy monitel sim cards. Very slow internet speed in data pachages.,2024.0
Selladaurai Gowrithilagan,Best service,5,2024-03-22 12:20:31,Google Play,Best service,2024.0
Ranidu Chamika,"Worst app ever used, lot functions not working in app. Even trough app we cant add funds and active packages customer support saying if want recharge go to nearest branch or food city.",1,2024-03-16 12:43:46,Google Play,"Worst app ever used, lot functions not working in app. Even trough app we cant add funds and active packages customer support saying if want recharge go to nearest branch or food city.",2024.0
S Madu,"We cannot view bill at anytime,its taking more than two weeks to fix our bill 😄😄😅😅 but they debit it to our account,very bad service,",1,2024-03-07 14:44:33,Google Play,"We cannot view bill at anytime,its taking more than two weeks to fix our bill 😄😄😅😅 but they debit it to our account,very bad service,",2024.0
SN,NOT working,1,2024-03-05 05:10:09,Google Play,NOT working,2024.0
T b Manoj,ජජජජජජජජජජජ🦁🦁🦧🐯🐯ංංංංංDds🦁🐕🍒,4,2024-03-02 12:09:48,Google Play,ජජජජජජජජජජජ🦁🦁🦧🐯🐯ංංංංංDds🦁🐕🍒,2024.0
Thivanka Fernando,"It lacks one of basic but important options,to save credit/debit card details. We need to enter it manually each and every time I need make a paymentm",2,2024-02-26 17:57:21,Google Play,"It lacks one of basic but important options,to save credit/debit card details. We need to enter it manually each and every time I need make a paymentm",2024.0
Nipun Tharuka,💩,1,2024-02-26 07:47:25,Google Play,💩,2024.0
Damien De Silva,Atleast make a widget for the app to display the data usage,4,2024-02-25 16:46:28,Google Play,Atleast make a widget for the app to display the data usage,2024.0
Harith Randika,"Not surprised about the poor quality and performance,, i mean how would an app be good while the Company is a sht load and totally worse",1,2024-02-24 04:44:34,Google Play,"Not surprised about the poor quality and performance,, i mean how would an app be good while the Company is a sht load and totally worse",2024.0
amanda hishara,No details about data packages.,1,2024-02-18 06:24:09,Google Play,No details about data packages.,2024.0
DK Dragon,Data usage doesn't update,1,2024-02-16 23:20:03,Google Play,Data usage doesn't update,2024.0
wijitha wimukthi,Bad,1,2024-02-16 15:59:42,Google Play,Bad,2024.0
Janithri Sarithsa,I am here to update my review 2star to one star,1,2024-02-15 14:05:49,Google Play,I am here to update my review 2star to one star,2024.0
Mewan Rathnaweera,It has very poor service & it unavailable to work in many times,1,2024-02-14 10:02:49,Google Play,It has very poor service & it unavailable to work in many times,2024.0
Laki Silva,"Every time I open the app, it's either very slow or unresponsive.",1,2024-02-14 08:29:31,Google Play,"Every time I open the app, it's either very slow or unresponsive.",2024.0
Gayathiri,"What in the world is wrong with this app? Always crashing, always showing an error message",1,2024-02-14 07:28:01,Google Play,"What in the world is wrong with this app? Always crashing, always showing an error message",2024.0
Nipun Tj,Service not available,1,2024-02-14 06:26:56,Google Play,Service not available,2024.0
Jayantha Weerasinghe,I seriously can't understand your protocol report and daily usage those really confuse me please fix this mess,1,2024-02-14 02:43:44,Google Play,I seriously can't understand your protocol report and daily usage those really confuse me please fix this mess,2024.0
Pol Raj,How to change package in this app because i want to change this package. changing the options didn't work so not useful thi app.,1,2024-02-11 16:03:52,Google Play,How to change package in this app because i want to change this package. changing the options didn't work so not useful thi app.,2024.0
Sadiya Waleed,We activated fibre connection with a 100gb (40 anytime + 60gb night time). The app doesn't show seperately how much night time and anytime data has been used. On of the primary reasons to for user to download this app is to track usage. If that isn't available it is pointless!,2,2024-02-11 09:26:04,Google Play,We activated fibre connection with a 100gb (40 anytime + 60gb night time). The app doesn't show seperately how much night time and anytime data has been used. On of the primary reasons to for user to download this app is to track usage. If that isn't available it is pointless!,2024.0
Bala SMJ,"Says Internal Error all the time when I go to check daily usage. No update available, have cleared cache, even tried reinstalling",2,2024-02-11 06:51:50,Google Play,"Says Internal Error all the time when I go to check daily usage. No update available, have cleared cache, even tried reinstalling",2024.0
N Jay,SLT nam guu,1,2024-02-08 14:25:32,Google Play,SLT NAM GUU,2024.0
Omila Mananayaka,"Complain section එක නම්ගන්න දෙයක් නෑ ගොන් logic 😡 Bill එක ගෙවලා සතියක් වෙනවා, system එකේ reconnect erro නිසා service barred සතියක්. 1212ට අරන් වියදම් කරගන්න ඕන ඒක හදාගන්නත්. බිල් එක ගෙවලා තිබ්බත් නැතත් service එක ගැන complain එකක් දාන්න බැරි online app එකක් මොකටද?? Low pay bill කියලා complain submit කරන්න නොදෙන ගොන් logic!",1,2024-02-06 07:48:04,Google Play,"Complain section එක නම්ගන්න දෙයක් නෑ ගොන් logic 😡 Bill එක ගෙවලා සතියක් වෙනවා, system එකේ reconnect erro නිසා service barred සතියක්. 1212ට අරන් වියදම් කරගන්න ඕන ඒක හදාගන්නත්. බිල් එක ගෙවලා තිබ්බත් නැතත් service එක ගැන complain එකක් දාන්න බැරි online app එකක් මොකටද?? Low pay bill කියලා complain submit කරන්න නොදෙන ගොන් logic!",2024.0
tharanga Taka,Register වෙන්න තව ටිකක් අමාරැ කරා නමි මරැ.ලෙසි වැඩි 😡😡😡,1,2024-01-31 12:55:35,Google Play,Register වෙන්න තව ටිකක් අමාරැ කරා නමි මරැ.ලෙසි වැඩි 😡😡😡,2024.0
Madhurshanan Thillainathan,The worst app. No use of it.. this app is only use for show casing stlt has multiple apps.. even customer represents have no idea how to upgrade the package detils.. this app is totally a scrap 🤢🤮,1,2024-01-29 11:26:31,Google Play,The worst app. No use of it.. this app is only use for show casing stlt has multiple apps.. even customer represents have no idea how to upgrade the package detils.. this app is totally a scrap 🤢🤮,2024.0
Wickremasinghe Chandrasekera,Most of the facilities were provided by this app. Well done.,3,2024-01-27 11:27:39,Google Play,Most of the facilities were provided by this app. Well done.,2024.0
Sumana Mala Arachchige,Excellent,5,2024-01-27 08:21:19,Google Play,Excellent,2024.0
vishwa neshan,👌,4,2024-01-24 05:36:19,Google Play,👌,2024.0
Tharindu Rangana,worst service in sri lanka,1,2024-01-21 16:58:19,Google Play,worst service in sri lanka,2024.0
Thilina Nimesha,"worst ever... Cant reload using any mobile bank app, communication, laugh, cargills you need to find a mcash dealer or arcade...really dissapointing",1,2024-01-18 09:57:13,Google Play,"worst ever... Cant reload using any mobile bank app, communication, laugh, cargills you need to find a mcash dealer or arcade...really dissapointing",2024.0
yasas kulathunga,Not bad. But there is a bug since around 2 or 3 months after payment made bill not genrated.it show empty screen.,4,2024-01-18 02:42:25,Google Play,Not bad. But there is a bug since around 2 or 3 months after payment made bill not genrated.it show empty screen.,2024.0
Saman Laksiri,Terible. Can't even make complain,1,2024-01-11 16:13:34,Google Play,Terible. Can't even make complain,2024.0
Umesh Randheer,Awlk na supiri,5,2024-01-10 16:49:07,Google Play,Awk are the Supiir,2024.0
Thithira Malsen,"Piece of trash app absolutely useless. Whenever an add-on is about to expire, the app conveniently crashes or displays ""couldn't load the user details/ package details"" so I have na way of telling if the add-on is over, and whether I'm using add-on data or standard data.",1,2024-01-09 04:15:30,Google Play,"Piece of trash app absolutely useless. Whenever an add-on is about to expire, the app conveniently crashes or displays ""couldn't load the user details/ package details"" so I have na way of telling if the add-on is over, and whether I'm using add-on data or standard data.",2024.0
Prabod mihiranga,This app does not work properly 😒 Could you fix it?,3,2024-01-09 02:25:34,Google Play,This app does not work properly 😒 Could you fix it?,2024.0
Sarath Sugathadasa,ok,5,2024-01-07 14:50:56,Google Play,ok,2024.0
Nirvan,"Need some ui changes, please add circle progress bars to home page , now it need 2or 3 taps to view remaining data. Change the ui to modern theme, now it's like KitKat version 🥴",4,2024-01-06 13:55:21,Google Play,"Need some ui changes, please add circle progress bars to home page , now it need 2or 3 taps to view remaining data. Change the ui to modern theme, now it's like KitKat version 🥴",2024.0
Sathiska Udayanga,Cannot log complaints. Very bad service. Always not able to do an action.,1,2024-01-05 14:43:09,Google Play,Cannot log complaints. Very bad service. Always not able to do an action.,2024.0
Ahmadhi Hassim,"Pleas fix that error""ops "" smthing went wrong. This message pops when ever i launch the app",3,2024-01-05 10:02:25,Google Play,"Pleas fix that error""ops "" smthing went wrong. This message pops when ever i launch the app",2024.0
Yuu Ji,You have to get a master's degree in myslt app to just login and after when you login it says sorry there's a error try again later and it shows lies about data usage,1,2024-01-04 06:35:28,Google Play,You have to get a master's degree in myslt app to just login and after when you login it says sorry there's a error try again later and it shows lies about data usage,2024.0
Vishwa Dassanayaka,It doesn't work I tried checking my remaining data but it always says something went wrong please try again later,1,2024-01-03 19:30:09,Google Play,It doesn't work I tried checking my remaining data but it always says something went wrong please try again later,2024.0
Asela Weerasekara,"To hell with the UI cause it did the job. But lately app is basically ""Oops. Something went wrong. Try again shortly."" Doesn't even do the job anymore.",1,2024-01-03 17:06:21,Google Play,"To hell with the UI cause it did the job. But lately app is basically ""Oops. Something went wrong. Try again shortly."" Doesn't even do the job anymore.",2024.0
sl music,"App randomly gives errors like ""Oops! Something went wrong"" and ""Service unavailable"" and It disappear after reloading the app. Fix that issue. Also improve the app loading time.",4,2024-01-03 16:12:44,Google Play,"App randomly gives errors like ""Oops! Something went wrong"" and ""Service unavailable"" and It disappear after reloading the app. Fix that issue. Also improve the app loading time.",2024.0
Heman Ujan,No way to reload prepaid connection,1,2024-01-01 10:54:43,Google Play,No way to reload prepaid connection,2024.0
Niroshan Piumal,Great now ...,5,2023-12-31 18:35:40,Google Play,Great now ...,2023.0
Ashen Weerasinghe,What the heck i can't change my package using this app. I don't get the chance to look at all the range packages and choose what i want. Instead they only show higher valued packages than you currently use. Simply i can't change from current one to a cheap one. (Calling hotline is a waste of time taking weeks to reach them),1,2023-12-31 13:23:21,Google Play,What the heck i can't change my package using this app. I don't get the chance to look at all the range packages and choose what i want. Instead they only show higher valued packages than you currently use. Simply i can't change from current one to a cheap one. (Calling hotline is a waste of time taking weeks to reach them),2023.0
Kanishka Lakmal,Better if you add an option to withdraw a reported complaint with a comment..,4,2023-12-29 11:18:39,Google Play,Better if you add an option to withdraw a reported complaint with a comment..,2023.0
Myname,Good,5,2023-12-29 04:21:57,Google Play,Good,2023.0
Misal K,"They market themselves like they are the only one best ISP in the country. But they can't even maintain their own app. If I open the app 10 times per a day- 8 times actually it is broken. Says service is temporary unavailable or some sh**. These days they are giving an Christmas offer with free 50gb social media package for 14days. Even it's free, I can't use it because my main package data is reached out the limit. I mean what's there in free?? Why they've became this cheap?",1,2023-12-28 20:37:19,Google Play,"They market themselves like they are the only one best ISP in the country. But they can't even maintain their own app. If I open the app 10 times per a day- 8 times actually it is broken. Says service is temporary unavailable or some sh**. These days they are giving an Christmas offer with free 50gb social media package for 14days. Even it's free, I can't use it because my main package data is reached out the limit. I mean what's there in free?? Why they've became this cheap?",2023.0
Musigan Tharmakumar,"After bill payment no receipt, lot of bugs very bad",1,2023-12-28 16:08:40,Google Play,"After bill payment no receipt, lot of bugs very bad",2023.0
Peter De Zilwa,I can't download the app to see any details of my usage. Shame!,2,2023-12-28 09:43:23,Google Play,I can't download the app to see any details of my usage. Shame!,2023.0
Suresh Bandara,"Only can subscribe add on, if you need unsubscribe you must visit slt office, app says system error.😀",1,2023-12-27 00:03:10,Google Play,"Only can subscribe add on, if you need unsubscribe you must visit slt office, app says system error.😀",2023.0
Dhanuka Hemanga,There are so many errors display when loging. Very very disappointed,1,2023-12-26 05:27:30,Google Play,There are so many errors display when loging. Very very disappointed,2023.0
Tharindu Thathsara,"App is barely holding, Daily Usage section does not work. No details about data add ons. Intentionally removed important details such as what are the requirements to use data addons.",1,2023-12-24 17:06:29,Google Play,"App is barely holding, Daily Usage section does not work. No details about data add ons. Intentionally removed important details such as what are the requirements to use data addons.",2023.0
H.G.Chamod Shanuka,Hell,1,2023-12-22 11:53:26,Google Play,Hell,2023.0
S Thathsara,Wrost app,1,2023-12-19 20:39:28,Google Play,Wrost app,2023.0
I L D Videos,online reload දාන්න බෑ ඒක මාර කරදරයක්,5,2023-12-16 08:27:29,Google Play,online reload දාන්න බෑ ඒක මාර කරදරයක්,2023.0
Janaki Rose,"Hi, i was buy a SLT Mobitel Router four days ago. But still i can't log into your App and see my Data details. I have try on Web also, but its impossible. Every time i try the app indicates Adding erro. Please fix that.",2,2023-12-16 08:21:53,Google Play,"Hi, i was buy a SLT Mobitel Router four days ago. But still i can't log into your App and see my Data details. I have try on Web also, but its impossible. Every time i try the app indicates Adding erro. Please fix that.",2023.0
Bhagya Anurajith,Absolutely horrifying experience.,1,2023-12-16 06:14:52,Google Play,Absolutely horrifying experience.,2023.0
Ranjith Jayathilaka,Very slowly,1,2023-12-13 02:52:08,Google Play,Very slowly,2023.0
Mahesh Gunathilaka (Mahesh),This app is auseless for prepaid 4G connection.,1,2023-12-12 10:08:41,Google Play,This app is auseless for prepaid 4G connection.,2023.0
Shana Vannan,"When I try to login, I'm getting ""Sorry for the inconvenience caused, Service will be available soon"" message. When will be the service available again? When will be this issue resolve?",1,2023-12-05 16:46:11,Google Play,"When I try to login, I'm getting ""Sorry for the inconvenience caused, Service will be available soon"" message. When will be the service available again? When will be this issue resolve?",2023.0
Sankaa BROO,Great,5,2023-12-04 04:25:29,Google Play,Great,2023.0
Thilak Ranamuka,"I conducted a thorough exploration of the application interface; however, regrettably, the option to obtain a detailed telephone bill eludes my efforts and remains inaccessible.",2,2023-12-04 01:37:19,Google Play,"I conducted a thorough exploration of the application interface; however, regrettably, the option to obtain a detailed telephone bill eludes my efforts and remains inaccessible.",2023.0
Lakshan J. Kumara,Not Recommend.. There is a very weak Internet connection.,1,2023-12-03 11:07:33,Google Play,Not Recommend.. There is a very weak Internet connection.,2023.0
Hadha Lye,I just paid the November month bill thru this app and ended up getting freezed but the amount for deducted from the bank account. The app is really useless garbage since app getting freeze during payment is horrible. I need an immediate solution.,1,2023-12-02 18:00:33,Google Play,I just paid the November month bill thru this app and ended up getting freezed but the amount for deducted from the bank account. The app is really useless garbage since app getting freeze during payment is horrible. I need an immediate solution.,2023.0
Rochelle Samantha,Most of the time it says service unavailable!,3,2023-12-01 13:56:16,Google Play,Most of the time it says service unavailable!,2023.0
Kalhara Senevirathne,"If there is a poor connection, when adding extra packages and subscriptions, it's adding the same bundle over and over. You can not remove packages as soon as you add them even if u didn't use a single kilobyte... and the best part is arguing with agents. Only they know to explain is that ""you must pay....""👎",1,2023-12-01 09:29:30,Google Play,"If there is a poor connection, when adding extra packages and subscriptions, it's adding the same bundle over and over. You can not remove packages as soon as you add them even if u didn't use a single kilobyte... and the best part is arguing with agents. Only they know to explain is that ""you must pay....""👎",2023.0
Nisais N,Do you guys have a QA team within yiu? Or just develop and throw it to play store? Full of bugs every where in the app,1,2023-11-29 16:58:19,Google Play,Do you guys have a QA team within yiu? Or just develop and throw it to play store? Full of bugs every where in the app,2023.0
Hiron Kanishka,User experience is horrible,1,2023-11-27 03:15:37,Google Play,User experience is horrible,2023.0
chandana gunasekera,So sad,5,2023-11-23 13:40:26,Google Play,So sad,2023.0
Travel with Raj,Cannot sign in with FB!!,2,2023-11-22 16:14:30,Google Play,Cannot sign in with FB!!,2023.0
Paulkishor Ravichandran,Good app pls upgrade prepaid reload or topup system.,2,2023-11-22 09:31:47,Google Play,Good app pls upgrade prepaid reload or topup system.,2023.0
Hazari Hussein,Excellent!,5,2023-11-21 08:36:17,Google Play,Excellent!,2023.0
Sarath Panapitiya,cannot use. it says no service available,1,2023-11-21 01:04:53,Google Play,cannot use. it says no service available,2023.0
Samith Jayawardena,Don't use this app for online payments. It's horrible.,1,2023-11-20 04:23:05,Google Play,Don't use this app for online payments. It's horrible.,2023.0
Sunil Upali Mendis,Wate yawanna epa,1,2023-11-19 07:03:03,Google Play,Wate yawanna epa,2023.0
Dananjaya Rathnayaka,Buggy App,1,2023-11-18 16:48:24,Google Play,Buggy App,2023.0
douglas weerawardena,can not get the free offer,5,2023-11-16 07:05:47,Google Play,can not get the free offer,2023.0
HUSAIN,How to install this app for laptop,3,2023-11-13 11:22:10,Google Play,How to install this app for laptop,2023.0
Ishara Sewwandi,"There is no customer service, no way to resolve a problem. Tried for days but couldn't get through to a customer service associate. No matter how many times I try to reset the password, at least I don't get an e-mail message",1,2023-11-12 02:18:23,Google Play,"There is no customer service, no way to resolve a problem. Tried for days but couldn't get through to a customer service associate. No matter how many times I try to reset the password, at least I don't get an e-mail message",2023.0
Sasanka Lakshan,Help me,5,2023-11-08 23:46:25,Google Play,Help me,2023.0
Thanish Farook,"We can't use the app if the Connection is disconnected. I wanted to file a complaint through the App, but getting the error the connection is bot active despite making the full settlement.",2,2023-11-05 11:17:52,Google Play,"We can't use the app if the Connection is disconnected. I wanted to file a complaint through the App, but getting the error the connection is bot active despite making the full settlement.",2023.0
Vimethma Sasundi Deshpriya,Slt kaspersky page is not working. .at least can't login to my account to verify with slt-kaspersky please fix this,1,2023-11-04 21:31:34,Google Play,Slt kaspersky page is not working. .at least can't login to my account to verify with slt-kaspersky please fix this,2023.0
nilu ekanayaka,I dont no,1,2023-11-03 13:56:59,Google Play,I dont no,2023.0
Mohamed Arshad,"Very good application, easy to use, we can do something. but we can't chack how many people use the connection! if coming next update with the development it will going to be well come 🫴 thanks you 💓",4,2023-10-31 04:17:10,Google Play,"Very good application, easy to use, we can do something. but we can't chack how many people use the connection! if coming next update with the development it will going to be well come 🫴 thanks you 💓",2023.0
Ruchira Gamage,"This is a wasting of our time & data. 1st experience on registering the app was very awful. This is a app which suits 🐌 slow motion people. Tried several time to get an OTP to registration, only waiting nothing happened. So i uninstall it at once. Please develop this app to a user friendly otherwise people hate online services 🙏🙏🙏",1,2023-10-30 13:02:17,Google Play,"This is a wasting of our time & data. 1st experience on registering the app was very awful. This is a app which suits 🐌 slow motion people. Tried several time to get an OTP to registration, only waiting nothing happened. So i uninstall it at once. Please develop this app to a user friendly otherwise people hate online services 🙏🙏🙏",2023.0
Mahesh Bandara Wijerathna,"No dark mode, awful user experience. It looks and feels like a bunch of kids developed it as their school project. Yikes.",2,2023-10-29 12:02:27,Google Play,"No dark mode, awful user experience. It looks and feels like a bunch of kids developed it as their school project. Yikes.",2023.0
එෂිනි උයනහේවා,Good,5,2023-10-29 04:56:48,Google Play,Good,2023.0
Sajith Thiwanka,"Worse app not user friendly, even not showing user bill information 🤬😡",1,2023-10-23 17:26:33,Google Play,"Worse app not user friendly, even not showing user bill information 🤬😡",2023.0
Anusha,It was the most marvelous app,5,2023-10-17 14:25:28,Google Play,It was the most marvelous app,2023.0
Amayuru Upanith,"My recent encounter with the MySLT app left me deeply disappointed, not only due to the unexpected package change and billing errors but also because of the lackluster customer service that followed. This combination of issues has severely impacted my trust and satisfaction with the MySLT app. Firstly, the app's unexpected alteration of my package to a 60000LKR package without prior notification or consent My recent encounter with the MySLT app left me deeply disappointed.",1,2023-10-11 11:33:22,Google Play,"My recent encounter with the MySLT app left me deeply disappointed, not only due to the unexpected package change and billing errors but also because of the lackluster customer service that followed. This combination of issues has severely impacted my trust and satisfaction with the MySLT app. Firstly, the app's unexpected alteration of my package to a 60000LKR package without prior notification or consent My recent encounter with the MySLT app left me deeply disappointed.",2023.0
Mahinda Dharmasiri,Good,5,2023-10-08 13:36:05,Google Play,Good,2023.0
taksala priyantha,Good service,1,2023-10-08 04:06:29,Google Play,Good service,2023.0
Christopher Jefferson,"No coverage , difficult to get connected some times.",3,2023-10-06 00:56:28,Google Play,"No coverage , difficult to get connected some times.",2023.0
Gayan Vidyarathna,Cannot add slt prepaid broadband number.please fix,1,2023-10-02 23:06:41,Google Play,Cannot add slt prepaid broadband number.please fix,2023.0
Lahiru Fernando,Bad experience,1,2023-10-02 14:33:09,Google Play,Bad experience,2023.0
Asif Ali Ahamed,"You should provide the capability to Downgrade and Upgrade Telephone, Broadband and TV Packages from this App",4,2023-09-29 01:14:43,Google Play,"You should provide the capability to Downgrade and Upgrade Telephone, Broadband and TV Packages from this App",2023.0
